positionName,workYear,education,jobNature,financeStage,industryField,companyShortName,companyFullName,city,salary,district,createTime,positionLables,companySize,firstType,secondType,isSchoolJob
Python爬虫开发工程师,1-3年,大专,全职,不需要融资,"数据服务,企业服务",艾瑞集团,上海艾瑞市场咨询股份有限公司,北京,15k-30k,朝阳区,2018-07-12 19:11:21,[],150-500人,开发|测试|运维类,数据开发,0
python(爬虫方向)工程师(J11045),1-3年,大专,全职,C轮,教育,传智播客,北京传智播客教育科技有限公司,北京,15k-22k,昌平区,2018-07-03 09:39:15,[],500-2000人,开发|测试|运维类,后端开发,0
Python开发工程师,1-3年,大专,全职,不需要融资,游戏,智水互娱,北京智水互娱科技有限公司,北京,20k-40k,东城区,2018-07-19 08:12:44,"['Java', '对日']",15-50人,开发/测试/运维类,后端开发,0
Python工程师,1-3年,大专,全职,B轮,数据服务,好巧,北京好巧国际旅行社有限公司,北京,15k-25k,朝阳区,2018-07-19 08:59:31,['Java'],150-500人,开发/测试/运维类,后端开发,0
python开发工程师,1-3年,大专,全职,未融资,移动互联网,壕鑫互联,壕鑫互联（北京）网络科技有限公司,北京,15k-25k,海淀区,2018-07-19 11:57:09,"['高级', '中级', '架构师', '爬虫', '服务器端']",50-150人,开发/测试/运维类,后端开发,0
爬虫工程师,1-3年,大专,全职,不需要融资,教育、移动互联网,世纪超星,北京世纪超星信息技术发展有限责任公司,北京,5k-6k,海淀区,2018-07-19 09:34:54,"['数据挖掘', 'Java', 'python']",2000人以上,开发/测试/运维类,数据开发,0
Python高级开发,1-3年,大专,全职,A轮,"移动互联网,教育",音悦荚,北京音悦荚科技有限责任公司,北京,15k-30k,昌平区,2018-07-12 11:44:51,"['资深', '后端开发', '数据分析', '服务器端']",15-50人,开发/测试/运维类,后端开发,0
python开发工程师,1-3年,大专,全职,不需要融资,移动互联网,币信,北京势在必行网络科技有限公司,北京,15k-30k,海淀区,2018-07-19 10:38:52,"['高级', 'php']",50-150人,开发/测试/运维类,软件开发,0
python开发工程师,1-3年,大专,全职,天使轮,"移动互联网,文化娱乐",时阅文学,北京时阅东方文化传媒有限公司,北京,10k-20k,通州区,2018-07-06 09:00:10,"['php', 'Java']",50-150人,开发/测试/运维类,后端开发,0
Python开发工程师,1-3年,大专,全职,天使轮,"移动互联网,金融",云量科技,云量科技（北京）有限责任公司,北京,10k-15k,朝阳区,2018-06-19 14:37:16,"['金融', 'MySQL', '数据库', '量化']",15-50人,开发/测试/运维类,后端开发,0
Python,1-3年,大专,全职,不需要融资,"移动互联网,数据服务",聚微,北京聚微合智信息技术有限公司,北京,12k-24k,,2018-07-06 18:21:36,"['Java', 'Ruby', '高级', '初级', '中级']",50-150人,技术,后端开发,0
爬虫工程师,1-3年,大专,全职,天使轮,"金融,数据服务",比特智盈,北京比特智盈科技有限公司,北京,15k-25k,东城区,2018-07-16 21:50:13,"['中级', 'Java', '大数据']",15-50人,开发/测试/运维类,后端开发,0
网络爬虫工程师,1-3年,大专,全职,A轮,"移动互联网,企业服务",互融时代,北京互融时代软件有限公司,北京,15k-20k,朝阳区,2018-07-10 18:16:47,"['资深', '高级', '软件开发', '大数据', '数据挖掘']",150-500人,开发/测试/运维类,软件开发,0
服务器运维及爬虫工程师,1-3年,大专,全职,未融资,招聘,中汇法通,中汇法通（北京）知识产权咨询服务有限公司,北京,7k-14k,朝阳区,2018-06-27 11:53:53,"['信息安全', '大数据', 'linux', '数据库', '系统工程师']",15-50人,开发/测试/运维类,运维安全,0
爬虫工程师（JAVA）,1-3年,大专,全职,未融资,"信息安全,数据服务",中胜信用,中胜信用管理有限公司,北京,10k-15k,朝阳区,2018-06-29 10:50:23,"['数据挖掘', '大数据', '架构', 'python']",50-150人,开发/测试/运维类,数据开发,0
python研发工程师(J11045),1-3年,大专,全职,C轮,教育,传智播客,北京传智播客教育科技有限公司,北京,10k-20k,昌平区,2018-06-29 15:43:45,"['爬虫', 'Java']",500-2000人,开发/测试/运维类,后端开发,0
Python爬虫工程师,1-3年,本科,全职,不需要融资,移动互联网,NewsJet,北京智分科技有限公司,北京,20k-40k,海淀区,2018-07-19 10:48:56,"['算法', '数据挖掘', 'NLP']",50-150人,开发/测试/运维类,数据开发,0
python爬虫工程师,1-3年,本科,全职,未融资,"移动互联网,文化娱乐",艺富,北京艺富科技有限公司,北京,10k-18k,昌平区,2018-07-19 09:20:26,['后端开发'],15-50人,开发|测试|运维类,后端开发,0
python 爬虫开发工程师,1-3年,本科,全职,A轮,移动互联网,有路网,北京有路前行科技发展有限公司,北京,10k-20k,朝阳区,2018-07-17 14:20:18,['Java'],50-150人,开发/测试/运维类,后端开发,0
Python爬虫工程师,1-3年,本科,全职,A轮,数据服务,造数,北京造数科技有限公司,北京,15k-30k,朝阳区,2018-07-17 15:34:21,"['大数据', 'Java']",15-50人,开发/测试/运维类,后端开发,0
python爬虫工程师,1-3年,本科,全职,B轮,教育、移动互联网,极课大数据,江苏曲速教育科技有限公司,北京,10k-16k,朝阳区,2018-07-17 13:40:25,"['高级', '中级', 'Java']",150-500人,开发/测试/运维类,后端开发,0
python开发工程师,1-3年,本科,全职,B轮,"移动互联网,金融",老虎证券,北京优虎商务服务有限公司,北京,20k-40k,朝阳区,2018-07-19 16:21:38,"['金融', '后端开发']",150-500人,开发/测试/运维类,后端开发,0
Python开发工程师,1-3年,本科,全职,不需要融资,移动互联网,iHandy,北京汉迪移动互联网科技股份有限公司,北京,15k-30k,海淀区,2018-07-19 09:54:38,"['移动互联网', '服务器端', 'php', 'django']",150-500人,开发/测试/运维类,后端开发,0
Python工程师,1-3年,本科,全职,天使轮,企业服务 数据服务,星云Clustar,北京瀚海星云科技有限公司,北京,15k-30k,朝阳区,2018-07-19 15:28:31,"['云计算', 'linux', 'Java', 'Go', 'golang']",15-50人,开发/测试/运维类,后端开发,0
Python工程师,1-3年,本科,全职,A轮,"企业服务,数据服务",云脑科技,杭州云脑科技有限公司,北京,10k-20k,朝阳区,2018-07-17 18:44:41,"['算法', '机器学习']",15-50人,开发/测试/运维类,后端开发,0
Python工程师,1-3年,本科,全职,C轮,"移动互联网,硬件",Face++,北京旷视科技有限公司,北京,20k-40k,海淀区,2018-07-19 10:16:19,"['中级', '后端', 'django']",500-2000人,开发/测试/运维类,后端开发,0
Python工程师,1-3年,本科,全职,不需要融资,"移动互联网,游戏",乐元素游戏,乐元素科技（北京）股份有限公司,北京,15k-25k,海淀区,2018-07-19 15:05:50,[],500-2000人,开发|测试|运维类,后端开发,0
基础平台开发-python,1-3年,本科,全职,D轮及以上,移动互联网,一点资讯,一点网聚科技有限公司,北京,25k-30k,朝阳区,2018-07-19 14:23:48,"['云计算', 'node.js', 'Java', 'redis']",500-2000人,开发/测试/运维类,后端开发,0
Python研发工程师,1-3年,本科,全职,A轮,"移动互联网,硬件",库神,北京库神信息技术有限公司,北京,16k-32k,海淀区,2018-07-19 10:43:20,[],50-150人,开发|测试|运维类,后端开发,0
Python开发工程师,1-3年,本科,全职,B轮,移动互联网,下厨房,北京下厨房科技有限公司,北京,15k-25k,海淀区,2018-07-19 14:02:06,"['中级', '初级', 'js', 'OpenStack']",50-150人,开发/测试/运维类,后端开发,0
Python工程师,1-3年,本科,全职,B轮,"移动互联网,教育",学堂在线,北京慕华信息科技有限公司,北京,15k-25k,海淀区,2018-07-19 10:27:49,['教育'],150-500人,技术,后端开发,0
Python 开发工程师,1-3年,本科,全职,D轮及以上,"移动互联网,社交网络",知乎,北京智者天下科技有限公司,北京,18k-36k,海淀区,2018-07-18 14:22:22,"['信息安全', 'Java', 'web']",500-2000人,开发/测试/运维类,后端开发,0
Python开发工程师,1-3年,本科,全职,不需要融资,"移动互联网 ,企业服务",瞬联软件科技（北京）有限公司,瞬联软件科技（北京）有限公司,北京,10k-20k,朝阳区,2018-07-19 14:39:28,"['软件开发', 'django']",500-2000人,开发/测试/运维类,软件开发,0
Python,1-3年,本科,全职,C轮,O2O,瓜子二手车直卖网,车好多旧机动车经纪(北京)有限公司,北京,20k-30k,,2018-07-19 10:29:21,['汽车'],2000人以上,技术,后端开发,0
Python,1-3年,本科,全职,天使轮,"金融,企业服务",程创科技,程创（北京）科技有限公司,北京,15k-20k,海淀区,2018-07-19 11:16:47,"['金融', '数据分析', '大数据', '量化']",少于15人,开发/测试/运维类,数据开发,0
Python开发工程师,1-3年,本科,全职,D轮及以上,移动互联网,一点资讯,一点网聚科技有限公司,北京,20k-40k,朝阳区,2018-07-19 14:23:52,[],500-2000人,开发/测试/运维类,后端开发,0
Python开发工程师-变现业务,1-3年,本科,全职,C轮,"移动互联网,数据服务",字节跳动,北京字节跳动科技有限公司,北京,25k-40k,海淀区,2018-07-19 09:30:41,['后端开发'],2000人以上,开发/测试/运维类,后端开发,0
Python工程师,1-3年,本科,全职,天使轮,"企业服务,移动互联网",齿轮易创,北京齿轮易创科技有限公司,北京,13k-25k,朝阳区,2018-07-19 11:12:12,"['后端开发', '运维', '全栈', 'Ruby', 'GO']",50-150人,开发/测试/运维类,后端开发,0
Python后端开发工程师,1-3年,本科,全职,B轮,教育,柔持英语,柔持（北京）科技有限公司,北京,20k-30k,朝阳区,2018-07-19 15:07:19,"['高级', '中级', '初级', 'Java', 'php']",150-500人,开发/测试/运维类,后端开发,0
Python开发工程师,1-3年,本科,全职,不需要融资,移动互联网,去哪儿网,北京趣拿软件科技有限公司,北京,15k-30k,海淀区,2018-07-18 10:48:40,"['Java', 'MySQL']",2000人以上,开发/测试/运维类,后端开发,0
产品经理（数据方向 会R/Python）,1-3年,本科,全职,不需要融资,金融,有利网,北京弘合柏基金融信息服务有限责任公司,北京,8k-12k,海淀区,2018-07-19 10:11:17,"['金融', '中级', '数据分析', '大数据', '数据挖掘']",2000人以上,开发/测试/运维类,数据开发,0
高级python开发工程师,1-3年,本科,全职,A轮,"移动互联网,金融",她理财,北京新工场投资顾问有限公司,北京,15k-30k,朝阳区,2018-07-19 10:08:11,['golang'],50-150人,技术,后端开发,0
Python 工程师,1-3年,本科,全职,A轮,金融,况客科技,况客科技(北京)有限公司,北京,15k-30k,朝阳区,2018-07-04 16:29:05,"['后端开发', 'Node.js']",15-50人,开发/测试/运维类,后端开发,0
python攻城狮,1-3年,本科,全职,天使轮,"移动互联网,硬件",罗威亚科技,北京罗威亚科技有限公司,北京,9k-15k,大兴区,2018-07-19 14:58:00,"['云计算', '中级', '初级', 'MySQL', 'golang']",15-50人,开发/测试/运维类,后端开发,0
Python高级开发工程师,1-3年,本科,全职,B轮,旅游,妙计旅行,北京汇行科技有限公司,北京,15k-25k,东城区,2018-07-17 11:11:13,"['大数据', 'Java', '算法', '爬虫']",150-500人,开发/测试/运维类,后端开发,0
python开发工程师,1-3年,本科,全职,A轮,"金融,数据服务",标准普惠,颐月信息技术（北京）有限公司,北京,15k-25k,朝阳区,2018-07-18 11:16:42,"['信息安全', '借贷', 'php', 'Ruby']",15-50人,开发/测试/运维类,后端开发,0
python开发工程师,1-3年,本科,全职,C轮,"移动互联网,数据服务",字节跳动,北京字节跳动科技有限公司,北京,20k-40k,海淀区,2018-07-19 15:21:46,['后端开发'],2000人以上,开发/测试/运维类,后端开发,0
Python高级开发工程师,1-3年,本科,全职,B轮,旅游,妙计旅行,北京汇行科技有限公司,北京,10k-20k,东城区,2018-07-17 11:11:07,"['Java', '分布式', '架构']",150-500人,开发/测试/运维类,后端开发,0
高级Python开发工程师,1-3年,本科,全职,上市公司,"数据服务,企业服务",Gridsum 国双,北京国双科技有限公司,北京,12k-24k,海淀区,2018-07-18 16:01:35,['linux'],500-2000人,开发/测试/运维类,后端开发,0
Python开发工程师(J10644),1-3年,本科,全职,不需要融资,医疗健康,北大医信,北大医疗信息技术有限公司,北京,10k-18k,海淀区,2018-07-19 10:53:41,"['软件开发', '大数据']",500-2000人,开发/测试/运维类,软件开发,0
python开发工程师,1-3年,本科,全职,不需要融资,"移动互联网,数据服务",智影,北京源石智影科技有限公司,北京,15k-20k,朝阳区,2018-07-19 09:18:11,"['中级', '后端开发']",50-150人,开发/测试/运维类,后端开发,0
Python开发工程师,1-3年,本科,全职,上市公司,文化娱乐,新浪网,新浪网技术（中国）有限公司,北京,13k-26k,海淀区,2018-07-19 10:18:05,"['Java', '架构']",2000人以上,开发/测试/运维类,后端开发,0
Python开发工程师,1-3年,本科,全职,A轮,"移动互联网,教育",合心科技,北京启明合心科技有限公司,北京,20k-35k,海淀区,2018-07-19 10:11:23,"['大数据', '后端']",15-50人,技术,后端开发,0
中级python,1-3年,本科,全职,不需要融资,金融,有利网,北京弘合柏基金融信息服务有限责任公司,北京,15k-25k,朝阳区,2018-07-15 22:43:00,[],2000人以上,开发|测试|运维类,后端开发,0
python开发工程师,1-3年,本科,全职,未融资,"移动互联网,其他",东信北邮,杭州东信北邮信息技术有限公司,北京,10k-15k,海淀区,2018-07-17 09:42:36,"['旅游', '媒体', '软件开发', 'Java', 'MySQL']",500-2000人,开发/测试/运维类,软件开发,0
Python WEB 开发工程师,1-3年,本科,全职,不需要融资,"企业服务,数据服务",牛顿Newton,北京自造星球科技有限公司,北京,10k-20k,朝阳区,2018-07-16 11:47:36,['前端'],50-150人,技术,后端开发,0
Python后端开发工程师,1-3年,本科,全职,A轮,"移动互联网,社交网络",66game,北京有三逗科技有限公司,北京,20k-40k,朝阳区,2018-07-17 21:08:36,[],15-50人,开发/测试/运维类,后端开发,0
python开发实习生,1年以下,本科,全职,不需要融资,"企业服务,数据服务",天润融通,北京天润融通科技有限公司,北京,4k-8k,大兴区,2018-07-19 09:12:35,"['Java', 'php']",150-500人,开发/测试/运维类,后端开发,0
python研发工程师,1-3年,本科,全职,B轮,"企业服务,数据服务",数美,北京数美时代科技有限公司,北京,15k-30k,朝阳区,2018-07-17 18:20:43,"['大数据', '数据挖掘']",150-500人,开发/测试/运维类,后端开发,0
算法开发工程师（Python）,1-3年,本科,全职,B轮,移动互联网,商汤科技,北京市商汤科技开发有限公司,北京,20k-40k,海淀区,2018-07-19 11:58:47,"['视频', '机器学习']",500-2000人,开发/测试/运维类,数据开发,0
中级 Python工程师,1-3年,本科,全职,B轮,"移动互联网,教育",新东方教育行业研究院,北京点石经纬科技有限公司,北京,10k-20k,海淀区,2018-06-25 19:14:49,"['初级', 'Java', '架构']",150-500人,开发/测试/运维类,后端开发,0
Python研发工程师,1-3年,本科,全职,B轮,旅游,妙计旅行,北京汇行科技有限公司,北京,8k-16k,东城区,2018-07-17 11:11:12,"['爬虫', '大数据', '算法']",150-500人,开发/测试/运维类,后端开发,0
运维开发工程师（精通Python）,1-3年,本科,全职,上市公司,"数据服务,企业服务",Gridsum 国双,北京国双科技有限公司,北京,12k-20k,海淀区,2018-07-18 16:01:35,"['大数据', 'linux']",500-2000人,开发/测试/运维类,运维安全,0
高级python研发工程师,1-3年,本科,全职,C轮,"移动互联网,数据服务",字节跳动,北京字节跳动科技有限公司,北京,20k-40k,海淀区,2018-07-16 16:07:38,['后端开发'],2000人以上,开发/测试/运维类,后端开发,0
Python工程师-机器学习方向,1-3年,本科,全职,未融资,"移动互联网,企业服务",曜辉科技,北京曜辉信息科技有限公司,北京,20k-35k,朝阳区,2018-07-18 11:33:15,"['中级', '大数据', '数据挖掘', '算法']",15-50人,开发/测试/运维类,数据开发,0
Python研发工程师,1-3年,本科,全职,天使轮,"移动互联网,社交网络",江山如画网络科技,北京江山如画网路科技有限责任公司,北京,5k-10k,海淀区,2018-07-19 14:47:24,[],少于15人,技术,后端开发,0
服务端Python工程师,1-3年,本科,全职,上市公司,"移动互联网,游戏",360,奇虎360科技有限公司,北京,15k-20k,朝阳区,2018-07-16 11:04:52,"['信息安全', '软件开发', 'linux', 'Java']",2000人以上,开发/测试/运维类,软件开发,0
Python研发工程师（数据）,1-3年,本科,全职,上市公司,移动互联网,掌阅,掌阅科技股份有限公司,北京,20k-30k,朝阳区,2018-07-19 11:51:20,"['搜索', '算法', '机器学习', '推荐', 'Java', 'redis']",500-2000人,开发/测试/运维类,数据开发,0
Python后端工程师,1-3年,本科,全职,A轮,"移动互联网,教育",在行,北京我最在行信息技术有限公司,北京,15k-30k,朝阳区,2018-07-16 10:16:26,"['php', 'Ruby', 'django']",50-150人,开发/测试/运维类,后端开发,0
爬虫工程师,1-3年,本科,全职,A轮,游戏,Max+&小黑盒,清枫（北京）科技有限公司,北京,18k-30k,朝阳区,2018-07-19 10:06:16,"['游戏', '高级', 'Java', 'python']",50-150人,开发/测试/运维类,后端开发,0
python／openstack 开发工程师,1-3年,本科,全职,不需要融资,"数据服务,企业服务",启迪云,启迪云计算有限公司,北京,15k-30k,东城区,2018-07-18 18:42:44,"['云计算', 'IAAS']",50-150人,开发|测试|运维类,后端开发,0
python后台开发工程师,1-3年,本科,全职,D轮及以上,"数据服务,企业服务",鲸准,北京创业光荣信息科技有限责任公司,北京,20k-40k,朝阳区,2018-07-09 17:31:12,"['金融', '服务器端']",150-500人,开发/测试/运维类,后端开发,0
Python 游戏服务端开发,1-3年,本科,全职,A轮,"移动互联网,游戏",微笑科技,北京微笑科技有限公司,北京,20k-25k,海淀区,2018-07-19 11:04:27,"['游戏开发', 'Java', '后端', '手游']",50-150人,开发/测试/运维类,后端开发,0
python讲师,1-3年,本科,全职,天使轮,教育,七月在线,北京七月在线科技有限公司,北京,18k-30k,昌平区,2018-07-07 00:48:24,"['云计算', '教育', '兴趣教育', 'Java', 'MySQL']",15-50人,其他,教育|培训,0
Python开发工程师（后端）,1-3年,本科,全职,A轮,"移动互联网,文化娱乐",快爽,北京心跳时空科技有限公司,北京,20k-30k,朝阳区,2018-07-02 11:51:30,"['后端开发', 'node.js', 'php', 'Java', '算法']",15-50人,开发/测试/运维类,后端开发,0
Python开发工程师,1-3年,本科,全职,D轮及以上,"移动互联网,金融",闪银奇异,北京闪银奇异科技有限公司,北京,18k-35k,朝阳区,2018-07-16 18:00:13,"['大数据', '数据挖掘']",500-2000人,开发/测试/运维类,后端开发,0
Python后端,1-3年,本科,全职,天使轮,"移动互联网,社交网络",江山如画网络科技,北京江山如画网路科技有限责任公司,北京,10k-20k,海淀区,2018-07-19 14:47:24,"['高级', '中级', '服务器端', 'php', 'web']",少于15人,开发/测试/运维类,后端开发,0
Python工程师-机器学习方向,1-3年,本科,全职,未融资,"移动互联网,企业服务",曜辉科技,北京曜辉信息科技有限公司,北京,20K-35K,朝阳区,2018-06-20 12:20:46,['软件开发'],15-50人,开发/测试/运维类,软件开发,0
Python工程师,1-3年,本科,全职,A轮,"移动互联网,硬件",猎户星空,北京猎户星空科技有限公司,北京,15k-30k,朝阳区,2018-07-10 19:55:30,"['人工智能', '机器学习']",500-2000人,开发/测试/运维类,后端开发,0
讲师（R语言／Python）,1-3年,本科,全职,天使轮,"社交网络,教育",经管之家（原人大经济论坛）,北京国富如荷网络科技有限公司,北京,6k-12k,海淀区,2018-07-17 13:39:02,"['金融', '教育', '电商', '培训', '数据分析']",50-150人,其他,教育|培训,0
Python工程师（新华互联）,1-3年,本科,全职,未融资,"文化娱乐,移动互联网",新华书店总店,新华书店总店,北京,7k-14k,西城区,2018-07-19 10:36:13,[],500-2000人,开发|测试|运维类,后端开发,0
爬虫工程师,1-3年,本科,全职,上市公司,"移动互联网,游戏",360,奇虎360科技有限公司,北京,12k-24k,朝阳区,2018-07-18 09:56:38,"['资深', '高级', '中级', '初级', '大数据', '搜索']",2000人以上,开发/测试/运维类,数据开发,0
Python工程师,1-3年,本科,全职,天使轮,"移动互联网,社交网络",互拍,北京互拍科技有限公司,北京,15k-25k,朝阳区,2018-06-26 17:30:26,"['高级', '中级', '后端开发', '爬虫', '大数据']",少于15人,开发/测试/运维类,后端开发,0
Python讲师,1-3年,本科,全职,B轮,"移动互联网,招聘",兄弟连教育,北京易第优教育咨询有限公司,北京,15k-25k,昌平区,2018-07-16 10:30:32,"['爬虫', 'django']",500-2000人,开发/测试/运维类,后端开发,0
研发工程师-Golang/Python,1-3年,本科,全职,A轮,"电子商务,生活服务",Plum,致美生活（北京）科技有限公司,北京,10k-20k,朝阳区,2018-07-19 14:57:09,"['电商', 'php', 'Java']",50-150人,开发/测试/运维类,后端开发,0
Python开发工程师,1-3年,本科,全职,B轮,"移动互联网,数据服务",象辑科技,华风象辑（北京）气象科技有限公司,北京,10k-20k,海淀区,2018-07-19 09:56:59,['Java'],50-150人,开发/测试/运维类,后端开发,0
Python开发工程师,1年以下,本科,全职,A轮,"移动互联网,电子商务",美秒科技,北京美秒科技有限公司,北京,5k-10k,海淀区,2018-07-18 19:08:47,"['中级', '初级', '实习', 'php', 'Java']",15-50人,开发/测试/运维类,前端开发/移动开发,0
python/PHP开发(J10931),1-3年,本科,全职,不需要融资,"移动互联网,生活服务",便利蜂,便利蜂商贸有限公司,北京,15k-25k,朝阳区,2018-07-16 12:22:15,[],2000人以上,开发/测试/运维类,后端开发,0
爬虫工程师,1-3年,本科,全职,上市公司,金融,京东金融,京东金融,北京,15k-30k,大兴区,2018-07-19 10:10:28,"['软件开发', 'Java', '分布式']",2000人以上,开发/测试/运维类,软件开发,0
